profile_id,stock_code,company_short,investor_name_candidate,investor_type_candidate,is_pevc_candidate,classification_basis,evidence_pages,occurrence_count,manual_review_status,amac_filing_code,gp_name,lp_structure,deep_field_rule
W13IP039,920438,戈碧迦,秭归桐碧迦企业管理咨询中心（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,43、44,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP040,920522,纳科诺尔,京津冀产业协同发展投资基金,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,34、39,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP041,920522,纳科诺尔,北京水木华研投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,36,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP042,920522,纳科诺尔,国投招商投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,35、36,2,待人工确认,,,,原文或权威来源未披露时留空
W13IP043,920522,纳科诺尔,广州产融协同投资发展合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP044,920522,纳科诺尔,广州硕昊投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,37,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP045,920575,*ST康乐,北京江林威华生物技术合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,117,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP046,920575,*ST康乐,深创投,VC,yes,名称或上下文明确出现创业投资/创投,93、95,3,待人工确认,,,,原文或权威来源未披露时留空
W13IP047,920719,宁新新材,北京华清坤德投资管理,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,41,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP048,920719,宁新新材,北京简道创投,VC,yes,名称或上下文明确出现创业投资/创投,41,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP049,920719,宁新新材,厦门冠亚肆号投资合伙企业（有限合伙,机构投资者待核,uncertain,名称具有投资机构特征，但缺少基金属性证据,21,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP050,920719,宁新新材,嘉兴金长川贰号股权投资,PE,yes,名称或上下文明确出现股权投资基金、私募或投资基金,21,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP051,920719,宁新新材,简道众创投,VC,yes,名称或上下文明确出现创业投资/创投,59,1,待人工确认,,,,原文或权威来源未披露时留空
W13IP052,920719,宁新新材,霍尔果斯市易道创业投资,VC,yes,名称或上下文明确出现创业投资/创投,179,2,待人工确认,,,,原文或权威来源未披露时留空
